Graph,V,E,MaxDegree,Algorithm,NumThreads,LoadTime,ColoringTime,NumColorsUsed,Speedup,Efficiency
agrocyc_dag_uniq.gra,12684,27314,5488,Greedy,1,0.019098,0.005991,5,1.0,1.0
agrocyc_dag_uniq.gra,12684,27314,5488,JonesPlassmann,2,0.006897,0.005566,5,1.0763564498742364,0.5381782249371182
agrocyc_dag_uniq.gra,12684,27314,5488,JonesPlassmann,4,0.005741,0.007035,6,0.8515991471215352,0.2128997867803838
agrocyc_dag_uniq.gra,12684,27314,5488,JonesPlassmann,8,0.006047,0.005869,5,1.0207871869142955,0.12759839836428694
agrocyc_dag_uniq.gra,12684,27314,5488,Luby,2,0.013211,0.037389,5,0.160234293508786,0.080117146754393
agrocyc_dag_uniq.gra,12684,27314,5488,Luby,4,0.007919,0.04135,5,0.1448851269649335,0.036221281741233374
agrocyc_dag_uniq.gra,12684,27314,5488,Luby,8,0.005682,0.040423,5,0.14820770353511614,0.018525962941889518
ba10k2d.gra,10000,39992,228,Greedy,1,0.00974,0.004999,8,1.0,1.0
ba10k2d.gra,10000,39992,228,JonesPlassmann,2,0.01128,0.009164,7,0.5455041466608468,0.2727520733304234
ba10k2d.gra,10000,39992,228,JonesPlassmann,4,0.007546,0.008716,8,0.5735429095915557,0.14338572739788893
ba10k2d.gra,10000,39992,228,JonesPlassmann,8,0.010222,0.01148,8,0.4354529616724738,0.05443162020905923
ba10k2d.gra,10000,39992,228,Luby,2,0.013202,0.042806,7,0.11678269401485773,0.058391347007428866
ba10k2d.gra,10000,39992,228,Luby,4,0.00705,0.045773,8,0.10921285473969371,0.027303213684923427
ba10k2d.gra,10000,39992,228,Luby,8,0.006643,0.079811,8,0.06263547631278896,0.00782943453909862
citeseer.scc.gra,693947,624564,55758,Greedy,1,0.462819,0.427743,6,1.0,1.0
citeseer.scc.gra,693947,624564,55758,JonesPlassmann,2,0.343883,0.296639,4,1.4419648124488014,0.7209824062244007
citeseer.scc.gra,693947,624564,55758,JonesPlassmann,4,0.256365,0.198784,5,2.151797931423052,0.537949482855763
citeseer.scc.gra,693947,624564,55758,JonesPlassmann,8,0.2521,0.157026,5,2.7240265943219595,0.34050332429024494
citeseer.scc.gra,693947,624564,55758,Luby,2,0.261914,0.741533,6,0.5768360949546413,0.28841804747732064
citeseer.scc.gra,693947,624564,55758,Luby,4,0.268648,0.7272,6,0.5882054455445545,0.1470513613861386
citeseer.scc.gra,693947,624564,55758,Luby,8,0.252913,0.823137,6,0.519649827428484,0.0649562284285605
citeseer_sub_10720.gra,10720,88516,192,Greedy,1,0.02076,0.006712,12,1.0,1.0
citeseer_sub_10720.gra,10720,88516,192,JonesPlassmann,2,0.016715,0.008836,11,0.7596197374377547,0.37980986871887734
citeseer_sub_10720.gra,10720,88516,192,JonesPlassmann,4,0.010446,0.010122,12,0.6631100573009286,0.16577751432523216
citeseer_sub_10720.gra,10720,88516,192,JonesPlassmann,8,0.013425,0.014849,12,0.4520169708397872,0.0565021213549734
citeseer_sub_10720.gra,10720,88516,192,Luby,2,0.016708,0.069118,12,0.0971092913568101,0.04855464567840505
citeseer_sub_10720.gra,10720,88516,192,Luby,4,0.013609,0.075548,13,0.08884417853550061,0.022211044633875153
citeseer_sub_10720.gra,10720,88516,192,Luby,8,0.012963,0.146715,12,0.04574856013359233,0.0057185700166990415
rgg_n_2_15_s0.graph,32768,160240,24,Greedy,1,0.116685,0.027843,14,1.0,1.0
rgg_n_2_15_s0.graph,32768,160240,24,JonesPlassmann,2,0.059005,0.017705,13,1.5726066083027395,0.7863033041513697
rgg_n_2_15_s0.graph,32768,160240,24,JonesPlassmann,4,0.043577,0.009469,13,2.940437216179111,0.7351093040447777
rgg_n_2_15_s0.graph,32768,160240,24,JonesPlassmann,8,0.044905,0.009778,13,2.847514829208427,0.3559393536510534
rgg_n_2_15_s0.graph,32768,160240,24,Luby,2,0.047028,0.342279,15,0.08134591955685275,0.040672959778426374
rgg_n_2_15_s0.graph,32768,160240,24,Luby,4,0.042221,0.201757,15,0.13800264674831605,0.034500661687079014
rgg_n_2_15_s0.graph,32768,160240,24,Luby,8,0.046384,0.28916,15,0.09628925162539771,0.012036156453174714
